,Unnamed: 0,Page,2NE1_zh.wikipedia.org_all-access_spider,2PM_zh.wikipedia.org_all-access_spider,3C_zh.wikipedia.org_all-access_spider,4minute_zh.wikipedia.org_all-access_spider,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,5566_zh.wikipedia.org_all-access_spider,91Days_zh.wikipedia.org_all-access_spider,A'N'D_zh.wikipedia.org_all-access_spider,AKB48_zh.wikipedia.org_all-access_spider,ASCII_zh.wikipedia.org_all-access_spider,ASTRO_zh.wikipedia.org_all-access_spider,Ahq_e-Sports_Club_zh.wikipedia.org_all-access_spider,All_your_base_are_belong_to_us_zh.wikipedia.org_all-access_spider,AlphaGo_zh.wikipedia.org_all-access_spider,Android_zh.wikipedia.org_all-access_spider,Angelababy_zh.wikipedia.org_all-access_spider,Apink_zh.wikipedia.org_all-access_spider,Apple_II_zh.wikipedia.org_all-access_spider,As_One_zh.wikipedia.org_all-access_spider,B-PROJECT_zh.wikipedia.org_all-access_spider,B1A4_zh.wikipedia.org_all-access_spider,BDSM_zh.wikipedia.org_all-access_spider,BEAST_zh.wikipedia.org_all-access_spider,BIGBANG_zh.wikipedia.org_all-access_spider,BLACK_PINK_zh.wikipedia.org_all-access_spider,BLEACH_zh.wikipedia.org_all-access_spider,BTOB_zh.wikipedia.org_all-access_spider,Beautiful_Mind_zh.wikipedia.org_all-access_spider,Beyond_zh.wikipedia.org_all-access_spider,Big_zh.wikipedia.org_all-access_spider,Block_B_zh.wikipedia.org_all-access_spider,CHAOS;CHILD_zh.wikipedia.org_all-access_spider,CHAOS;HEAD_zh.wikipedia.org_all-access_spider,CLC_zh.wikipedia.org_all-access_spider,CNBLUE_zh.wikipedia.org_all-access_spider,DIA_zh.wikipedia.org_all-access_spider,Daigo_zh.wikipedia.org_all-access_spider,Dear_My_Friends_zh.wikipedia.org_all-access_spider,Doctors_zh.wikipedia.org_all-access_spider,EGOIST_zh.wikipedia.org_all-access_spider,EXID_zh.wikipedia.org_all-access_spider,EXO_zh.wikipedia.org_all-access_spider,Energy_zh.wikipedia.org_all-access_spider,Eric_Nam_zh.wikipedia.org_all-access_spider,FAIRY_TAIL_zh.wikipedia.org_all-access_spider,FIESTAR_zh.wikipedia.org_all-access_spider,FIRST_CLASS_zh.wikipedia.org_all-access_spider,Facebook_zh.wikipedia.org_all-access_spider
10,10,2015-07-11,19.0,41.0,1.0,16.0,,12.0,,17.0,8.0,18.0,,8.0,9.0,,27.0,58.0,52.0,10.0,15.0,,18.0,19.0,23.0,74.0,,10.0,43.0,,14.0,19.0,13.0,3.0,1.0,4.0,46.0,1.0,1.0,,,2.0,43.0,121.0,3.0,1.0,11.0,14.0,6.0,68.0
11,11,2015-07-12,10.0,65.0,1.0,11.0,,11.0,,23.0,16.0,7.0,,8.0,10.0,,17.0,38.0,17.0,4.0,9.0,,17.0,3.0,20.0,35.0,,17.0,26.0,,10.0,3.0,14.0,2.0,5.0,2.0,21.0,1.0,4.0,,,1.0,30.0,47.0,17.0,5.0,17.0,11.0,6.0,40.0
12,12,2015-07-13,14.0,57.0,1.0,23.0,,7.0,,47.0,18.0,8.0,,5.0,3.0,,19.0,39.0,41.0,8.0,29.0,,14.0,42.0,13.0,27.0,,6.0,44.0,,19.0,11.0,6.0,3.0,8.0,5.0,27.0,4.0,8.0,,,3.0,50.0,30.0,6.0,6.0,23.0,7.0,3.0,42.0
13,13,2015-07-14,15.0,38.0,6.0,145.0,,9.0,,33.0,12.0,12.0,1.0,6.0,8.0,,32.0,28.0,28.0,17.0,231.0,,21.0,7.0,48.0,19.0,,6.0,37.0,,17.0,14.0,11.0,11.0,11.0,14.0,26.0,7.0,8.0,,,3.0,28.0,33.0,14.0,22.0,23.0,11.0,10.0,27.0
14,14,2015-07-15,8.0,20.0,8.0,14.0,,6.0,,47.0,14.0,25.0,,5.0,8.0,,19.0,19.0,33.0,11.0,40.0,,16.0,7.0,39.0,11.0,,37.0,17.0,,9.0,14.0,2.0,2.0,14.0,6.0,16.0,1.0,13.0,,,2.0,31.0,11.0,6.0,5.0,59.0,1.0,15.0,34.0
15,15,2015-07-16,16.0,62.0,6.0,17.0,,10.0,,58.0,14.0,23.0,,10.0,5.0,,58.0,4.0,52.0,13.0,45.0,,17.0,12.0,15.0,17.0,,15.0,18.0,,14.0,8.0,7.0,6.0,4.0,10.0,11.0,2.0,4.0,,,3.0,136.0,19.0,3.0,3.0,42.0,8.0,3.0,25.0
16,16,2015-07-17,8.0,44.0,4.0,85.0,,8.0,,29.0,7.0,6.0,1.0,3.0,4.0,,19.0,19.0,75.0,12.0,9.0,,15.0,11.0,19.0,34.0,,29.0,33.0,,12.0,14.0,6.0,6.0,4.0,12.0,17.0,6.0,1.0,,,2.0,15.0,25.0,4.0,6.0,15.0,3.0,11.0,41.0
17,17,2015-07-18,8.0,15.0,5.0,4.0,,13.0,,187.0,7.0,10.0,0.0,9.0,2.0,,4.0,43.0,5.0,21.0,33.0,,19.0,7.0,24.0,14.0,,8.0,47.0,,9.0,2.0,6.0,10.0,7.0,11.0,36.0,4.0,12.0,,,8.0,31.0,14.0,7.0,8.0,70.0,15.0,6.0,32.0
18,18,2015-07-19,16.0,10.0,1.0,30.0,,3.0,,128.0,20.0,7.0,0.0,21.0,7.0,,6.0,17.0,61.0,14.0,9.0,,32.0,10.0,57.0,13.0,,5.0,45.0,,21.0,5.0,35.0,3.0,8.0,27.0,8.0,3.0,6.0,,,5.0,82.0,15.0,5.0,3.0,47.0,10.0,4.0,78.0
19,19,2015-07-20,7.0,47.0,2.0,22.0,,14.0,,34.0,82.0,3.0,0.0,7.0,3.0,,14.0,27.0,101.0,5.0,15.0,,11.0,11.0,45.0,22.0,,16.0,63.0,,7.0,33.0,2.0,23.0,8.0,23.0,13.0,1.0,14.0,,,2.0,25.0,19.0,2.0,4.0,15.0,1.0,2.0,54.0
20,20,2015-07-21,11.0,24.0,3.0,9.0,,4.0,,38.0,8.0,17.0,,28.0,2.0,,20.0,10.0,56.0,11.0,10.0,,109.0,12.0,33.0,10.0,,14.0,72.0,,9.0,5.0,6.0,2.0,3.0,22.0,4.0,3.0,6.0,,,2.0,11.0,12.0,16.0,6.0,19.0,9.0,5.0,23.0
21,21,2015-07-22,10.0,17.0,8.0,10.0,,9.0,,8.0,17.0,10.0,1.0,13.0,6.0,,27.0,11.0,41.0,16.0,8.0,,21.0,11.0,8.0,11.0,,13.0,57.0,,14.0,8.0,12.0,20.0,9.0,19.0,9.0,10.0,2.0,,,11.0,39.0,20.0,22.0,10.0,20.0,13.0,12.0,35.0
22,22,2015-07-23,20.0,22.0,8.0,11.0,,14.0,,38.0,18.0,16.0,0.0,14.0,10.0,,29.0,12.0,32.0,8.0,10.0,,14.0,16.0,17.0,13.0,,10.0,9.0,,17.0,14.0,11.0,48.0,14.0,12.0,12.0,0.0,10.0,,,7.0,17.0,13.0,13.0,9.0,16.0,11.0,16.0,32.0
23,23,2015-07-24,18.0,9.0,6.0,7.0,,10.0,,17.0,15.0,10.0,,4.0,3.0,,22.0,7.0,64.0,7.0,42.0,,18.0,11.0,6.0,18.0,,10.0,52.0,,12.0,6.0,13.0,18.0,7.0,13.0,3.0,105.0,5.0,,,4.0,11.0,17.0,8.0,19.0,61.0,11.0,5.0,51.0
24,24,2015-07-25,15.0,39.0,6.0,7.0,,8.0,,45.0,23.0,7.0,,67.0,3.0,,18.0,20.0,107.0,14.0,31.0,,14.0,6.0,12.0,14.0,,7.0,62.0,,14.0,6.0,14.0,3.0,8.0,25.0,13.0,7.0,5.0,,,5.0,28.0,32.0,9.0,8.0,19.0,12.0,9.0,37.0
25,25,2015-07-26,14.0,13.0,2.0,11.0,,3.0,,14.0,11.0,6.0,1.0,18.0,3.0,,87.0,10.0,73.0,8.0,9.0,,29.0,14.0,17.0,26.0,,5.0,35.0,,11.0,3.0,4.0,4.0,16.0,119.0,4.0,1.0,8.0,,,3.0,32.0,56.0,10.0,2.0,18.0,5.0,4.0,37.0
26,26,2015-07-27,49.0,11.0,2.0,9.0,,74.0,,15.0,20.0,15.0,,32.0,2.0,,9.0,88.0,67.0,9.0,89.0,,19.0,3.0,29.0,12.0,,8.0,21.0,,9.0,7.0,11.0,4.0,8.0,8.0,13.0,160.0,1.0,,,4.0,10.0,13.0,16.0,4.0,24.0,2.0,8.0,33.0
27,27,2015-07-28,10.0,12.0,3.0,11.0,,17.0,,56.0,35.0,12.0,0.0,3.0,6.0,,32.0,9.0,18.0,10.0,195.0,,19.0,12.0,18.0,14.0,,11.0,14.0,,15.0,6.0,11.0,6.0,6.0,8.0,22.0,22.0,4.0,,,3.0,29.0,23.0,11.0,8.0,15.0,3.0,13.0,38.0
28,28,2015-07-29,16.0,21.0,2.0,44.0,,8.0,,30.0,20.0,32.0,,8.0,10.0,,31.0,13.0,147.0,15.0,45.0,,28.0,19.0,17.0,25.0,,22.0,19.0,,9.0,7.0,14.0,11.0,9.0,6.0,22.0,94.0,6.0,,,2.0,154.0,27.0,2.0,9.0,18.0,9.0,8.0,52.0
29,29,2015-07-30,18.0,19.0,4.0,8.0,,6.0,,15.0,11.0,7.0,,5.0,6.0,,9.0,26.0,18.0,5.0,64.0,,19.0,6.0,38.0,16.0,,8.0,68.0,,11.0,5.0,9.0,1.0,3.0,4.0,15.0,23.0,2.0,,,2.0,24.0,14.0,2.0,6.0,18.0,2.0,8.0,27.0
30,30,2015-07-31,8.0,9.0,3.0,14.0,,9.0,,115.0,13.0,10.0,1.0,19.0,2.0,,10.0,14.0,82.0,5.0,49.0,,10.0,10.0,14.0,40.0,,16.0,35.0,,14.0,3.0,3.0,2.0,5.0,4.0,17.0,28.0,1.0,,,5.0,21.0,14.0,8.0,5.0,4.0,4.0,0.0,46.0
31,31,2015-08-01,5.0,15.0,3.0,19.0,,3.0,,6.0,11.0,5.0,,7.0,5.0,,25.0,5.0,13.0,8.0,13.0,,18.0,6.0,22.0,16.0,,7.0,52.0,,148.0,5.0,22.0,2.0,8.0,5.0,7.0,59.0,2.0,,,6.0,31.0,12.0,4.0,6.0,11.0,5.0,4.0,66.0
32,32,2015-08-02,9.0,33.0,5.0,10.0,,10.0,,25.0,13.0,13.0,,5.0,2.0,,66.0,10.0,58.0,8.0,46.0,,33.0,12.0,46.0,12.0,,14.0,22.0,,9.0,7.0,11.0,3.0,7.0,6.0,19.0,77.0,4.0,,,3.0,91.0,21.0,1.0,7.0,13.0,4.0,10.0,19.0
33,33,2015-08-03,7.0,8.0,3.0,17.0,,21.0,,10.0,20.0,22.0,,5.0,5.0,,34.0,32.0,27.0,10.0,38.0,,37.0,9.0,13.0,16.0,,9.0,26.0,,7.0,5.0,4.0,4.0,11.0,1.0,7.0,111.0,6.0,,,3.0,29.0,43.0,13.0,4.0,20.0,5.0,8.0,68.0
34,34,2015-08-04,13.0,8.0,5.0,17.0,,9.0,,135.0,47.0,15.0,,18.0,3.0,,47.0,8.0,10.0,9.0,1.0,,36.0,5.0,5.0,20.0,,3.0,32.0,,9.0,6.0,10.0,4.0,10.0,4.0,8.0,54.0,4.0,,,3.0,19.0,22.0,7.0,4.0,36.0,4.0,7.0,49.0
35,35,2015-08-05,9.0,7.0,4.0,10.0,,5.0,,40.0,25.0,12.0,,5.0,1.0,,16.0,14.0,63.0,8.0,21.0,,7.0,6.0,21.0,11.0,,7.0,60.0,,8.0,8.0,9.0,3.0,8.0,6.0,19.0,11.0,3.0,,,5.0,32.0,11.0,4.0,4.0,16.0,3.0,4.0,21.0
36,36,2015-08-06,7.0,13.0,2.0,7.0,,3.0,,63.0,93.0,9.0,,26.0,2.0,,12.0,10.0,5.0,6.0,57.0,,8.0,5.0,14.0,11.0,,7.0,6.0,,11.0,8.0,2.0,2.0,6.0,3.0,11.0,4.0,6.0,,,0.0,51.0,11.0,4.0,2.0,9.0,0.0,5.0,33.0
37,37,2015-08-07,4.0,2.0,5.0,10.0,,4.0,,32.0,13.0,3.0,,2.0,4.0,,10.0,1.0,13.0,5.0,5.0,,7.0,9.0,13.0,13.0,,9.0,71.0,,7.0,4.0,5.0,2.0,4.0,6.0,7.0,4.0,0.0,,,2.0,34.0,9.0,3.0,1.0,16.0,2.0,9.0,31.0
38,38,2015-08-08,11.0,23.0,1.0,1.0,,1.0,,35.0,18.0,12.0,,2.0,0.0,,8.0,24.0,146.0,2.0,14.0,,8.0,7.0,47.0,7.0,,6.0,27.0,,7.0,3.0,12.0,5.0,3.0,6.0,5.0,8.0,1.0,,,2.0,54.0,14.0,0.0,4.0,20.0,10.0,0.0,22.0
39,39,2015-08-09,10.0,12.0,4.0,8.0,,7.0,,65.0,24.0,6.0,,6.0,2.0,,36.0,3.0,8.0,11.0,4.0,,38.0,9.0,39.0,18.0,,5.0,6.0,,15.0,2.0,7.0,6.0,8.0,7.0,7.0,18.0,7.0,,,3.0,33.0,9.0,3.0,7.0,9.0,10.0,9.0,37.0
40,40,2015-08-10,5.0,27.0,5.0,27.0,,3.0,,14.0,8.0,4.0,,5.0,2.0,,24.0,12.0,8.0,10.0,28.0,,14.0,6.0,5.0,17.0,,11.0,202.0,,5.0,4.0,8.0,5.0,6.0,8.0,13.0,2.0,2.0,,,6.0,56.0,4.0,4.0,1.0,46.0,2.0,3.0,17.0
41,41,2015-08-11,9.0,27.0,0.0,19.0,,15.0,,21.0,13.0,6.0,1.0,17.0,1.0,,14.0,41.0,14.0,7.0,6.0,,25.0,6.0,11.0,27.0,,11.0,30.0,,16.0,6.0,18.0,3.0,4.0,8.0,11.0,2.0,1.0,,,1.0,55.0,25.0,9.0,8.0,11.0,7.0,8.0,22.0
42,42,2015-08-12,9.0,36.0,0.0,16.0,,5.0,,35.0,6.0,4.0,,1.0,4.0,,187.0,25.0,33.0,9.0,5.0,,14.0,6.0,38.0,19.0,,9.0,21.0,16.0,16.0,2.0,5.0,4.0,4.0,15.0,4.0,11.0,3.0,,,5.0,112.0,14.0,3.0,0.0,8.0,1.0,6.0,22.0
43,43,2015-08-13,9.0,23.0,7.0,2.0,,6.0,,50.0,12.0,4.0,,2.0,0.0,,21.0,6.0,10.0,8.0,50.0,,27.0,6.0,8.0,12.0,,7.0,12.0,7.0,11.0,7.0,4.0,3.0,5.0,3.0,10.0,32.0,3.0,,,4.0,6.0,14.0,5.0,6.0,5.0,5.0,2.0,26.0
44,44,2015-08-14,9.0,58.0,3.0,84.0,,9.0,,49.0,5.0,16.0,0.0,3.0,1.0,,37.0,9.0,106.0,2.0,11.0,,14.0,10.0,7.0,15.0,,7.0,63.0,1.0,5.0,11.0,6.0,2.0,6.0,8.0,6.0,37.0,4.0,,,3.0,37.0,21.0,4.0,3.0,6.0,3.0,4.0,23.0
45,45,2015-08-15,13.0,80.0,5.0,22.0,,4.0,,38.0,44.0,11.0,0.0,6.0,18.0,,16.0,51.0,11.0,2.0,33.0,,8.0,6.0,13.0,26.0,,5.0,28.0,6.0,16.0,11.0,9.0,3.0,2.0,7.0,14.0,44.0,2.0,,,7.0,13.0,42.0,6.0,9.0,7.0,8.0,2.0,22.0
46,46,2015-08-16,4.0,60.0,1.0,14.0,,6.0,,12.0,15.0,8.0,2.0,5.0,8.0,,12.0,12.0,54.0,5.0,5.0,,34.0,10.0,14.0,33.0,,9.0,13.0,3.0,7.0,1.0,7.0,5.0,12.0,26.0,11.0,10.0,5.0,,,8.0,16.0,11.0,9.0,1.0,16.0,7.0,4.0,37.0
47,47,2015-08-17,15.0,69.0,6.0,47.0,,7.0,,37.0,13.0,5.0,0.0,4.0,6.0,,16.0,4.0,13.0,11.0,8.0,,9.0,11.0,25.0,34.0,,79.0,67.0,4.0,5.0,7.0,9.0,2.0,12.0,5.0,5.0,8.0,5.0,,,11.0,26.0,39.0,3.0,12.0,19.0,7.0,11.0,18.0
48,48,2015-08-18,25.0,42.0,2.0,25.0,,9.0,,87.0,19.0,5.0,0.0,6.0,6.0,,50.0,8.0,105.0,5.0,8.0,,20.0,14.0,7.0,12.0,,46.0,32.0,0.0,11.0,4.0,6.0,4.0,7.0,4.0,22.0,4.0,2.0,,,6.0,26.0,15.0,6.0,5.0,13.0,3.0,3.0,17.0
49,49,2015-08-19,9.0,161.0,5.0,14.0,,11.0,,66.0,12.0,6.0,0.0,13.0,1.0,,16.0,26.0,74.0,4.0,2.0,,52.0,10.0,13.0,9.0,,7.0,11.0,1.0,15.0,4.0,4.0,1.0,6.0,3.0,2.0,6.0,0.0,,,0.0,39.0,19.0,5.0,4.0,12.0,2.0,4.0,33.0
50,50,2015-08-20,5.0,94.0,0.0,11.0,,11.0,,90.0,6.0,12.0,0.0,18.0,8.0,,15.0,16.0,38.0,6.0,32.0,,60.0,5.0,7.0,9.0,,7.0,17.0,1.0,6.0,5.0,4.0,4.0,5.0,4.0,15.0,1.0,7.0,,,0.0,8.0,13.0,5.0,4.0,2.0,5.0,1.0,50.0
51,51,2015-08-21,6.0,77.0,3.0,12.0,,2.0,,64.0,11.0,9.0,0.0,9.0,5.0,,21.0,30.0,17.0,11.0,18.0,,26.0,11.0,6.0,31.0,,6.0,24.0,8.0,21.0,5.0,2.0,4.0,4.0,6.0,15.0,4.0,4.0,,,1.0,73.0,31.0,5.0,4.0,26.0,5.0,6.0,18.0
52,52,2015-08-22,20.0,78.0,1.0,27.0,,3.0,,402.0,12.0,15.0,0.0,1.0,3.0,,13.0,8.0,24.0,12.0,38.0,,25.0,9.0,14.0,30.0,,3.0,27.0,3.0,8.0,7.0,3.0,3.0,6.0,27.0,9.0,10.0,2.0,,,4.0,12.0,17.0,5.0,2.0,16.0,5.0,6.0,20.0
53,53,2015-08-23,3.0,20.0,0.0,8.0,,7.0,,86.0,24.0,10.0,0.0,6.0,4.0,,10.0,374.0,6.0,8.0,8.0,,39.0,8.0,7.0,19.0,,9.0,32.0,1.0,11.0,4.0,17.0,3.0,7.0,15.0,8.0,2.0,6.0,,,3.0,15.0,11.0,4.0,0.0,8.0,5.0,4.0,28.0
54,54,2015-08-24,14.0,24.0,1.0,17.0,,23.0,,90.0,27.0,10.0,0.0,6.0,5.0,,21.0,24.0,68.0,6.0,24.0,,18.0,12.0,11.0,37.0,,7.0,39.0,0.0,6.0,4.0,6.0,3.0,7.0,13.0,32.0,183.0,5.0,,,0.0,57.0,239.0,4.0,3.0,27.0,7.0,1.0,21.0
55,55,2015-08-25,46.0,13.0,1.0,43.0,,4.0,,30.0,60.0,15.0,1.0,0.0,5.0,,12.0,175.0,3.0,4.0,5.0,,20.0,11.0,3.0,11.0,,5.0,24.0,0.0,4.0,3.0,2.0,0.0,5.0,11.0,11.0,43.0,0.0,,,1.0,182.0,119.0,3.0,2.0,34.0,2.0,5.0,20.0
56,56,2015-08-26,5.0,14.0,2.0,3.0,,8.0,,86.0,11.0,5.0,0.0,4.0,3.0,,19.0,8.0,12.0,8.0,10.0,,61.0,11.0,17.0,7.0,,6.0,26.0,2.0,3.0,5.0,2.0,3.0,2.0,5.0,37.0,16.0,1.0,,,4.0,7.0,57.0,3.0,2.0,48.0,6.0,5.0,22.0
57,57,2015-08-27,5.0,26.0,4.0,19.0,,8.0,,61.0,18.0,7.0,0.0,4.0,1.0,,12.0,9.0,27.0,7.0,1.0,,16.0,7.0,2.0,5.0,,8.0,14.0,1.0,9.0,7.0,6.0,0.0,2.0,5.0,23.0,18.0,4.0,,,3.0,17.0,24.0,9.0,2.0,14.0,0.0,5.0,18.0
58,58,2015-08-28,13.0,8.0,2.0,14.0,,10.0,,7.0,10.0,9.0,0.0,5.0,1.0,,15.0,9.0,14.0,8.0,19.0,,49.0,7.0,6.0,13.0,,5.0,15.0,8.0,14.0,5.0,8.0,5.0,6.0,13.0,8.0,77.0,1.0,,,2.0,7.0,13.0,5.0,3.0,160.0,9.0,4.0,32.0
59,59,2015-08-29,4.0,82.0,1.0,20.0,,5.0,,44.0,15.0,7.0,0.0,3.0,4.0,,17.0,5.0,27.0,7.0,18.0,,3.0,2.0,11.0,16.0,,10.0,12.0,1.0,4.0,5.0,6.0,3.0,5.0,6.0,11.0,9.0,2.0,,,5.0,18.0,21.0,5.0,12.0,250.0,41.0,2.0,30.0
60,60,2015-08-30,9.0,22.0,1.0,43.0,,8.0,,7.0,12.0,9.0,0.0,6.0,5.0,,22.0,6.0,11.0,2.0,24.0,,17.0,7.0,11.0,14.0,,2.0,15.0,0.0,16.0,6.0,12.0,4.0,6.0,5.0,17.0,97.0,4.0,,,6.0,67.0,17.0,4.0,4.0,12.0,3.0,3.0,22.0
61,61,2015-08-31,10.0,11.0,3.0,4.0,,4.0,,15.0,37.0,9.0,0.0,2.0,13.0,,13.0,8.0,7.0,2.0,32.0,,7.0,10.0,4.0,9.0,,3.0,5.0,2.0,17.0,4.0,21.0,0.0,5.0,11.0,5.0,40.0,0.0,,,3.0,32.0,11.0,5.0,3.0,29.0,8.0,8.0,20.0
62,62,2015-09-01,9.0,81.0,4.0,5.0,,4.0,,11.0,18.0,7.0,0.0,5.0,0.0,,9.0,7.0,124.0,7.0,75.0,,8.0,2.0,7.0,10.0,,6.0,6.0,2.0,8.0,2.0,15.0,5.0,2.0,4.0,4.0,132.0,9.0,,,0.0,187.0,8.0,5.0,2.0,19.0,5.0,6.0,34.0
63,63,2015-09-02,11.0,37.0,3.0,37.0,,8.0,,61.0,15.0,12.0,0.0,1.0,8.0,,14.0,20.0,8.0,3.0,45.0,,11.0,9.0,10.0,12.0,,18.0,19.0,2.0,6.0,7.0,5.0,2.0,10.0,10.0,12.0,140.0,3.0,,,4.0,73.0,11.0,6.0,2.0,37.0,4.0,5.0,30.0
64,64,2015-09-03,11.0,9.0,6.0,23.0,,18.0,,9.0,7.0,6.0,0.0,9.0,6.0,,14.0,10.0,19.0,7.0,8.0,,15.0,7.0,14.0,17.0,,28.0,41.0,1.0,14.0,6.0,7.0,7.0,6.0,6.0,25.0,241.0,3.0,,,8.0,23.0,15.0,10.0,7.0,46.0,6.0,6.0,25.0
